image_filename,caption,sku,name,price,category,color,material,description,url,full_text_for_summary,summarized_caption
117270_1.webp,"Брюки широкие со складками. Брюки и шорты. Графитовый. . У этих брюк есть характер. Графитовый хлопок с деликатной текстурой, которая кажется чуть «помятой». Это делает вещь живой, тактильно интересной и не требующей лишних усилий при уходе. Складки здесь з",117270,Брюки широкие со складками,12890,Брюки и шорты,Графитовый,,"У этих брюк есть характер. Графитовый хлопок с деликатной текстурой, которая кажется чуть «помятой». Это делает вещь живой, тактильно интересной и не требующей лишних усилий при уходе. Складки здесь заложены необычным способом, что превращает их в элемент декора. Тонкий съемный пояс как интересная деталь, которая помогает немного усложнить образ. Это та самая вещь, с которой утро начинается иначе. Не нужно думать, с чем надеть — они дружат с футболками, свитерами, кедами и туфлями на плоском ходу. Офис, прогулка, встреча с подругой — им комфортно везде, где комфортно вам.",https://daisyknit.ru/catalog/bryuki_i_shorty/bryuki_shirokie_so_skladkami_3/?sku=117270,"Брюки широкие со складками, Брюки и шорты, Графитовый. У этих брюк есть характер. Графитовый хлопок с деликатной текстурой, которая кажется чуть «помятой». Это делает вещь живой, тактильно интересной и не требующей лишних усилий при уходе. Складки здесь заложены необычным способом, что превращает их в элемент декора. Тонкий съемный пояс как интересная деталь, которая помогает немного усложнить образ. Это та самая вещь, с которой утро начинается иначе. Не нужно думать, с чем надеть — они дружат с футболками, свитерами, кедами и туфлями на плоском ходу. Офис, прогулка, встреча с подругой — им комфортно везде, где комфортно вам.","«Широкие брюки со складками, графитовые, из хлопка с деликатной текстурой. Тонкий съёмный пояс. Легко сочетаются с футболками, свитерами, кедами и туфлями.»"
105494_1.webp,Брюки широкие со льном. Брюки и шорты. Жемчужно-серый. . Широкие брюки с высокой посадкой на талии и складками по передней части. Жемчужный оттенок и лен в составе делают их идеальным решением для летних комплектов.,105494,Брюки широкие со льном,14870,Брюки и шорты,Жемчужно-серый,,Широкие брюки с высокой посадкой на талии и складками по передней части. Жемчужный оттенок и лен в составе делают их идеальным решением для летних комплектов.,https://daisyknit.ru/catalog/bryuki_i_shorty/bryuki_shirokie_so_lnom/?sku=105494,"Брюки широкие со льном, Брюки и шорты, Жемчужно-серый. Широкие брюки с высокой посадкой на талии и складками по передней части. Жемчужный оттенок и лен в составе делают их идеальным решением для летних комплектов.","«Широкие брюки с высокой посадкой и складками, жемчужно-серые, изо льна — идеальны для лета.»"
118584_1.webp,"Брюки широкие на кулиске со льном. Дочь рыбака. Белый. . Свободные брюки на кулиске изо льна с вискозой — вещь для тех, кто ценит максимум комфорта и стильную простоту каждый день. Лёгкая ткань с классической полоской дарит прохладу даже в жаркий день, а пр",118584,Брюки широкие на кулиске со льном,13890,Дочь рыбака,Белый,,"Свободные брюки на кулиске изо льна с вискозой — вещь для тех, кто ценит максимум комфорта и стильную простоту каждый день. Лёгкая ткань с классической полоской дарит прохладу даже в жаркий день, а прямой крой добавляет воздушности образу.Мягкая кулиска на талии регулирует посадку и даёт ощущение свободы в движении.Эти брюки легко представить и в городских буднях, и на утренних прогулках у моря. Сочетаются с рубашками, топами, футболками — и всегда выглядят уместно.Носите расслабленно, не спеша и с удовольствием.",https://daisyknit.ru/catalog/doch_rybaka/bryuki_shirokie_na_kuliske_so_lnom/?sku=118584,"Брюки широкие на кулиске со льном, Дочь рыбака, Белый. Свободные брюки на кулиске изо льна с вискозой — вещь для тех, кто ценит максимум комфорта и стильную простоту каждый день. Лёгкая ткань с классической полоской дарит прохладу даже в жаркий день, а прямой крой добавляет воздушности образу.Мягкая кулиска на талии регулирует посадку и даёт ощущение свободы в движении.Эти брюки легко представить и в городских буднях, и на утренних прогулках у моря. Сочетаются с рубашками, топами, футболками — и всегда выглядят уместно.Носите расслабленно, не спеша и с удовольствием.","«Широкие брюки на кулиске со льном, «Дочь рыбака», белые. Свободный крой, лёгкая ткань с полоской. Мягкая кулиска на талии. Комфорт и простота. Подходят для города и прогулок у моря. Сочетаются с рубашками, топами, футболками.»"
106033_1.webp,"Бермуды изо льна. Брюки и шорты. Красный. . Бермуды изо льна легко сочетать с летними топами, яркими рубашками или легкими жакетами.",106033,Бермуды изо льна,10700,Брюки и шорты,Красный,,"Бермуды изо льна легко сочетать с летними топами, яркими рубашками или легкими жакетами.",https://daisyknit.ru/catalog/bryuki_i_shorty/bermudy_izo_lna/?sku=106033,"Бермуды изо льна, Брюки и шорты, Красный. Бермуды изо льна легко сочетать с летними топами, яркими рубашками или легкими жакетами.","«Бермуды изо льна, красные — легко сочетаются с топами, рубашками, жакетами.»"
106027_1.webp,"Бермуды изо льна. Брюки и шорты. Красный. . Бермуды изо льна легко сочетать с летними топами, яркими рубашками или легкими жакетами.",106027,Бермуды изо льна,10700,Брюки и шорты,Красный,,"Бермуды изо льна легко сочетать с летними топами, яркими рубашками или легкими жакетами.",https://daisyknit.ru/catalog/bryuki_i_shorty/bermudy_izo_lna/?sku=106027,"Бермуды изо льна, Брюки и шорты, Красный. Бермуды изо льна легко сочетать с летними топами, яркими рубашками или легкими жакетами.","«Бермуды изо льна, красные — легко сочетаются с топами, рубашками, жакетами.»"
118384_1.webp,"Брюки широкие с кулиской по низу. Брюки и шорты. Хаки. . Лёгкая ткань с интересной фактурой и деликатным блеском создает игру света при каждом движении. Брюки из ацетата в глубоком оттенке хаки — отличный выбор для тех, кто ценит практичность в вещах. Их мо",118384,Брюки широкие с кулиской по низу,12890,Брюки и шорты,Хаки,,"Лёгкая ткань с интересной фактурой и деликатным блеском создает игру света при каждом движении. Брюки из ацетата в глубоком оттенке хаки — отличный выбор для тех, кто ценит практичность в вещах. Их можно носить как в классическом прямом варианте, так и собрать по низу с помощью скрытой регулировки — получится актуальный силуэт в стиле алладины. Идеальная модель для города, путешествий или отдыха — пусть каждый день будет особенным.",https://daisyknit.ru/catalog/bryuki_i_shorty/bryuki_shirokie_s_kuliskoy_po_nizu/?sku=118384,"Брюки широкие с кулиской по низу, Брюки и шорты, Хаки. Лёгкая ткань с интересной фактурой и деликатным блеском создает игру света при каждом движении. Брюки из ацетата в глубоком оттенке хаки — отличный выбор для тех, кто ценит практичность в вещах. Их можно носить как в классическом прямом варианте, так и собрать по низу с помощью скрытой регулировки — получится актуальный силуэт в стиле алладины. Идеальная модель для города, путешествий или отдыха — пусть каждый день будет особенным.","«Широкие брюки хаки с кулиской по низу, из ацетата. Лёгкая ткань с фактурой и блеском. Актуальный силуэт в стиле алладины.»"
105437_1.webp,"Брюки широкие со складками из ткани со льном. Брюки и шорты. Коричневый. . Наша любимая модель брюк с летним составом ткани. Если вы не готовы проститься с ними на летний сезон, самое время примерить новинку изо льна.",105437,Брюки широкие со складками из ткани со льном,14800,Брюки и шорты,Коричневый,,"Наша любимая модель брюк с летним составом ткани. Если вы не готовы проститься с ними на летний сезон, самое время примерить новинку изо льна.",https://daisyknit.ru/catalog/bryuki_i_shorty/bryuki_shirokie_so_skladkami_iz_tkani_so_lnom/?sku=105437,"Брюки широкие со складками из ткани со льном, Брюки и шорты, Коричневый. Наша любимая модель брюк с летним составом ткани. Если вы не готовы проститься с ними на летний сезон, самое время примерить новинку изо льна.","«Широкие брюки со складками из ткани с льном, коричневые — идеальный выбор для лета.»"
105348_1.webp,"Брюки прямого кроя изо льна. Брюки и шорты. Красный. . Брюки с высокой посадкой на талии станут основой летних деловых комплектов. Сочетайте их со строгими офисными позициями или с расслабленными летними топами, чтобы отправиться на прогулку после рабочег",105348,Брюки прямого кроя изо льна,14900,Брюки и шорты,Красный,,"Брюки с высокой посадкой на талии станут основой летних деловых комплектов. Сочетайте их со строгими офисными позициями или с расслабленными летними топами, чтобы отправиться на прогулку после рабочего дня.",https://daisyknit.ru/catalog/bryuki_i_shorty/bryuki_pryamogo_kroya_izo_lna/?sku=105348,"Брюки прямого кроя изо льна, Брюки и шорты, Красный. Брюки с высокой посадкой на талии станут основой летних деловых комплектов. Сочетайте их со строгими офисными позициями или с расслабленными летними топами, чтобы отправиться на прогулку после рабочего дня.",«Прямые льняные брюки красного цвета с высокой посадкой — основа летних деловых образов. Сочетаются с офисными нарядами и расслабленными топами.»
105342_1.webp,"Брюки прямого кроя изо льна. Брюки и шорты. Красный. . Брюки с высокой посадкой на талии станут основой летних деловых комплектов. Сочетайте их со строгими офисными позициями или с расслабленными летними топами, чтобы отправиться на прогулку после рабочег",105342,Брюки прямого кроя изо льна,14900,Брюки и шорты,Красный,,"Брюки с высокой посадкой на талии станут основой летних деловых комплектов. Сочетайте их со строгими офисными позициями или с расслабленными летними топами, чтобы отправиться на прогулку после рабочего дня.",https://daisyknit.ru/catalog/bryuki_i_shorty/bryuki_pryamogo_kroya_izo_lna/?sku=105342,"Брюки прямого кроя изо льна, Брюки и шорты, Красный. Брюки с высокой посадкой на талии станут основой летних деловых комплектов. Сочетайте их со строгими офисными позициями или с расслабленными летними топами, чтобы отправиться на прогулку после рабочего дня.",«Прямые льняные брюки красного цвета с высокой посадкой — основа летних деловых образов. Сочетаются с офисными нарядами и расслабленными топами.»
105354_1.webp,"Брюки прямого кроя изо льна. Брюки и шорты. Красный. . Брюки с высокой посадкой на талии станут основой летних деловых комплектов. Сочетайте их со строгими офисными позициями или с расслабленными летними топами, чтобы отправиться на прогулку после рабочег",105354,Брюки прямого кроя изо льна,14900,Брюки и шорты,Красный,,"Брюки с высокой посадкой на талии станут основой летних деловых комплектов. Сочетайте их со строгими офисными позициями или с расслабленными летними топами, чтобы отправиться на прогулку после рабочего дня.",https://daisyknit.ru/catalog/bryuki_i_shorty/bryuki_pryamogo_kroya_izo_lna/?sku=105354,"Брюки прямого кроя изо льна, Брюки и шорты, Красный. Брюки с высокой посадкой на талии станут основой летних деловых комплектов. Сочетайте их со строгими офисными позициями или с расслабленными летними топами, чтобы отправиться на прогулку после рабочего дня.",«Прямые льняные брюки красного цвета с высокой посадкой — основа летних деловых образов. Сочетаются с офисными нарядами и расслабленными топами.»
